user_id,start_hub,start_latitude,start_longitude,end_hub,end_latitude,end_longitude,total_distance,total_cost,start_time_iso,end_time_iso
498182,,33.77906667,-84.39626167,GEORGIA TECH - CLOUGH BUILDING,33.77526333,-84.39630333,0.82,-1.0,2017-09-14 11:43:00,2017-09-14 12:07:00
530129,PIEDMONT PARK WEST,33.7863,-84.37796333,CENTENNIAL OLYMPIC PARK,33.76043667,-84.394555,4.96,13.95,2017-09-14 11:44:00,2017-09-14 13:17:00
530129,PIEDMONT PARK WEST,33.78620333,-84.37795,CENTENNIAL OLYMPIC PARK,33.76047333,-84.39452333,5.0,13.95,2017-09-14 11:45:00,2017-09-14 13:17:00
507471,IRWIN & EASTSIDE BELTLINE ,33.75742,-84.36472333,IRWIN & EASTSIDE BELTLINE ,33.757575,-84.36469333,3.87,0.9,2017-09-14 11:46:00,2017-09-14 12:21:00
530189,IRWIN & EASTSIDE BELTLINE ,33.75778167,-84.36460167,IRWIN & EASTSIDE BELTLINE ,33.757565,-84.36469,3.87,0.6,2017-09-14 11:48:00,2017-09-14 12:21:00
335914,,33.75589167,-84.39096,GEORGIA TECH - TRANSIT HUB,33.772605,-84.39722333,1.36,-1.0,2017-09-14 11:48:00,2017-09-14 12:02:00
530046,,33.77440333,-84.399145,GEORGIA TECH - CLOUGH BUILDING,33.77526833,-84.39632833,0.2,-1.0,2017-09-14 11:50:00,2017-09-14 11:52:00
498986,THE COCA-COLA COMPANY,33.76945,-84.39620333,THE COCA-COLA COMPANY,33.76973333,-84.39622333,1.29,0.0,2017-09-14 11:55:00,2017-09-14 12:12:00
339625,,33.75999833,-84.38567,CENTRAL PARK,33.76842,-84.377705,0.99,-1.0,2017-09-14 11:59:00,2017-09-14 12:05:00
472522,VIRGINIA-HIGHLAND,33.782755,-84.354525,PIEDMONT PARK EAST,33.78632,-84.37142333,1.16,0.0,2017-09-14 12:02:00,2017-09-14 12:09:00
470366,TOWER PLACE - BUCKHEAD,33.84797,-84.37001167,TOWER PLACE - BUCKHEAD,33.848525,-84.37010833,2.99,0.0,2017-09-14 12:03:00,2017-09-14 12:59:00
151316,HISTORIC FOURTH WARD PARK,33.770795,-84.36554167,GEORGIA TECH - CLOUGH BUILDING,33.77522167,-84.39624333,2.25,0.0,2017-09-14 12:05:00,2017-09-14 12:21:00
412448,,33.75498167,-84.39124833,FAIRLIE-POPLAR DISTRICT,33.75569333,-84.39124667,1.55,-1.0,2017-09-14 12:07:00,2017-09-14 12:38:00
379013,,33.775945,-84.39601167,,33.77416667,-84.39667,1.4,2.0,2017-09-14 12:08:00,2017-09-14 12:32:00
530208,TOWER PLACE - BUCKHEAD,33.84804,-84.37014667,TOWER PLACE - BUCKHEAD,33.84857333,-84.370115,3.12,0.0,2017-09-14 12:11:00,2017-09-14 12:58:00
454159,MARTA - NORTH AVE ,33.77249833,-84.38708667,MARTA - NORTH AVE ,33.77220667,-84.387015,4.33,0.0,2017-09-14 12:15:00,2017-09-14 13:28:00
391186,MARTA - NORTH AVE ,33.77242833,-84.3871,MARTA - NORTH AVE ,33.77224833,-84.38703667,4.35,0.0,2017-09-14 12:16:00,2017-09-14 13:28:00
341505,TECH SQUARE ,33.77674167,-84.38911333,JUNIPER & 14TH ST,33.78647167,-84.38230833,1.12,0.0,2017-09-14 12:19:00,2017-09-14 12:28:00
287623,,33.78610667,-84.382845,TECH SQUARE ,33.77689667,-84.38897,1.12,-1.0,2017-09-14 12:24:00,2017-09-14 12:35:00
276632,MARTA - KING MEMORIAL ,33.75014667,-84.375975,MARTA - KING MEMORIAL ,33.75007167,-84.37595333,0.01,0.0,2017-09-14 12:29:00,2017-09-14 12:29:00
526032,PIEDMONT PARK EAST,33.78625667,-84.3714,PIEDMONT PARK EAST,33.78626833,-84.37143333,2.28,0.0,2017-09-14 12:30:00,2017-09-14 12:49:00
336702,GEORGIA TECH - WEST CAMPUS HOUSING ,33.778735,-84.40456333,GEORGIA TECH - TRANSIT HUB,33.77272833,-84.3973,0.77,0.0,2017-09-14 12:35:00,2017-09-14 12:41:00
497969,ATLANTIC STATION,33.791655,-84.39627833,GEORGIA TECH - CLOUGH BUILDING,33.77523667,-84.39635,1.48,0.0,2017-09-14 12:36:00,2017-09-14 12:47:00
330797,HISTORIC FOURTH WARD PARK,33.77074167,-84.365435,GEORGIA TECH - CLOUGH BUILDING,33.77525167,-84.39622,2.09,0.0,2017-09-14 12:36:00,2017-09-14 12:58:00
530236,KING OF POPS,33.76372333,-84.359095,KING OF POPS,33.763735,-84.358985,2.82,0.0,2017-09-14 12:44:00,2017-09-14 13:09:00
352520,GSU ARTS & HUMANITIES BLDG,33.75446333,-84.38583667,WOODRUFF PARK,33.75611833,-84.38805167,0.32,0.0,2017-09-14 12:48:00,2017-09-14 12:54:00
330277,RANDOLPH & EDGEWOOD,33.75433167,-84.36809,HISTORIC FOURTH WARD PARK,33.77079167,-84.36544667,1.58,0.0,2017-09-14 12:49:00,2017-09-14 12:58:00
530249,PONCE - HIGHLAND,33.77321333,-84.35263,HISTORIC FOURTH WARD PARK,33.77096,-84.36569667,1.91,2.4,2017-09-14 12:52:00,2017-09-14 13:38:00
335634,IRWIN & EASTSIDE BELTLINE ,33.75749,-84.36475833,MARTA - MIDTOWN  (NORTH),33.7815,-84.38601333,3.5,0.0,2017-09-14 12:55:00,2017-09-14 13:16:00
482967,KING OF POPS,33.76366,-84.35902833,HISTORIC FOURTH WARD PARK,33.77080333,-84.36553333,0.77,0.0,2017-09-14 13:03:00,2017-09-14 13:09:00
530115,KING OF POPS,33.76382833,-84.35891,5TH & ARGONNE,33.77556667,-84.37773,2.36,4.65,2017-09-14 13:04:00,2017-09-14 13:35:00
530115,KING OF POPS,33.76368667,-84.35894333,5TH & ARGONNE,33.77558667,-84.37774,2.35,4.5,2017-09-14 13:05:00,2017-09-14 13:35:00
529845,,33.755325,-84.38220667,PIEDMONT &  AUBURN,33.75567167,-84.38218667,0.04,-0.7,2017-09-14 13:06:00,2017-09-14 13:07:00
472522,PIEDMONT PARK EAST,33.78632833,-84.37149,VIRGINIA-HIGHLAND,33.7826,-84.35442,1.18,0.0,2017-09-14 13:08:00,2017-09-14 13:17:00
529845,PIEDMONT &  AUBURN,33.75567167,-84.38218667,MARTA - NORTH AVE ,33.77234833,-84.38702333,1.89,3.75,2017-09-14 13:08:00,2017-09-14 13:33:00
530236,KING OF POPS,33.76365167,-84.35894,IRWIN & EASTSIDE BELTLINE ,33.75759,-84.36471667,0.61,0.15,2017-09-14 13:13:00,2017-09-14 13:18:00
530245,IRWIN & EASTSIDE BELTLINE ,33.75752667,-84.36473167,HISTORIC FOURTH WARD PARK,33.77096167,-84.365685,1.28,0.0,2017-09-14 13:14:00,2017-09-14 13:21:00
276632,RANDOLPH & EDGEWOOD,33.75452667,-84.36827667,,33.75458167,-84.36831,0.0,0.0,2017-09-14 13:17:00,2017-09-14 13:18:00
496381,GEORGIA TECH - CLOUGH BUILDING,33.77535333,-84.396225,GEORGIA TECH -BOBBY DODD STADIUM,33.77153167,-84.39197167,0.51,0.0,2017-09-14 13:18:00,2017-09-14 13:23:00
529538,GEORGIA TECH - CLOUGH BUILDING,33.775105,-84.39620167,TECH SQUARE ,33.77691333,-84.38903,0.52,0.0,2017-09-14 13:21:00,2017-09-14 13:28:00
276632,RANDOLPH & EDGEWOOD,33.75437,-84.36793833,RANDOLPH & EDGEWOOD,33.75441833,-84.36803,0.01,0.0,2017-09-14 13:22:00,2017-09-14 13:22:00
276632,EDGEWOOD & EASTSIDE BELTLINE,33.75432,-84.36542167,EDGEWOOD & EASTSIDE BELTLINE,33.75432,-84.36542167,0.03,0.0,2017-09-14 13:33:00,2017-09-14 14:33:00
276632,EDGEWOOD & EASTSIDE BELTLINE,33.754275,-84.3654,EDGEWOOD & EASTSIDE BELTLINE,33.754275,-84.3654,0.0,0.0,2017-09-14 13:34:00,2017-09-14 13:34:00
276632,EDGEWOOD & EASTSIDE BELTLINE,33.75434333,-84.36538833,EDGEWOOD & EASTSIDE BELTLINE,33.75434333,-84.36538833,0.0,0.0,2017-09-14 13:38:00,2017-09-14 13:39:00
276632,EDGEWOOD & EASTSIDE BELTLINE,33.75433833,-84.36530667,EDGEWOOD & EASTSIDE BELTLINE,33.75433833,-84.36530667,0.0,0.0,2017-09-14 13:39:00,2017-09-14 13:39:00
464410,GSU ARTS & HUMANITIES BLDG,33.75433167,-84.38595833,MARTA - FIVE POINTS ,33.753525,-84.39078333,0.38,0.0,2017-09-14 13:43:00,2017-09-14 13:50:00
530046,,33.775385,-84.39685833,TECH SQUARE ,33.77693167,-84.389175,1.18,-1.0,2017-09-14 13:46:00,2017-09-14 14:58:00
145431,MARTA - NORTH AVE ,33.772315,-84.38722,5TH & ARGONNE,33.77556167,-84.377705,0.77,0.0,2017-09-14 13:50:00,2017-09-14 13:57:00
506592,HARDY IVY PARK,33.76284167,-84.387575,GEORGIA TECH - TRANSIT HUB,33.77274333,-84.39730333,1.25,0.0,2017-09-14 13:51:00,2017-09-14 14:01:00
